ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,local_code,coordinates
49751,55113,102243,986,107303,107310,107597,114625,35873,35873,195266
49752,55114,102244,3476,107303,107310,107557,135344,15485,15485,195267
49753,55114,102245,1354,107303,107310,107553,135345,1798,1798,195268
49754,55113,102246,1096,107303,107310,107549,126301,38163,38163,195269
49755,55114,102247,400,107303,107310,107549,135346,1760,1760,195270
49756,55114,102248,1449,107303,107310,107554,114261,6809,6809,195271
49757,55113,102249,915,107303,107310,107573,111964,2161,2161,195272
49758,55114,102250,1657,107303,107310,107553,110464,111581,145586,195273
49759,55114,102251,368,107303,107310,107553,114112,138624,138624,195274
49760,55114,102252,570,107303,107310,107553,111692,2989,2989,195275
49761,55114,61154,1189,107303,107310,107554,111187,7873,7873,195276
49762,55113,102253,317,107303,107310,107553,111414,1797,1797,195277
49763,55114,102254,1362,107303,107310,107554,114261,37690,37690,195278
49764,55113,102255,509,107303,107310,107560,123298,22951,22951,195279
49765,55114,102256,4659,107303,107310,107580,135347,50285,50285,195280
49766,55114,102257,1303,107303,107310,107554,114261,8783,8783,195281
49767,55114,102258,1595,107303,107310,107573,135348,1353,1353,195282
49768,55113,102259,1091,107303,107310,107554,111511,37696,37696,195283
49769,55113,102260,122,107303,107310,107565,126449,2012,2012,195284
49770,55114,62633,817,107303,107310,107574,112414,37407,37407,195285
49771,55113,102261,74,107303,107310,107558,110359,1676,1676,195286
49772,55113,102262,48,107303,107310,107558,125058,1320,1320,195287
49773,55114,102263,924,107303,107310,107573,111840,5131,5131,195288
49774,55114,102264,1754,107303,107310,107590,110549,35988,35988,195289
49775,55114,102265,366,107303,107310,107578,114416,48114,48114,195290
49776,55114,102266,375,107303,107310,107556,135349,639,639,195291
49777,55113,102267,979,107303,107310,107568,112926,10060,10060,195292
49778,55114,102268,1521,107303,107310,107561,135350,23688,23688,195293
49779,55113,102269,1356,107303,107310,107553,111008,5016,5016,195294
49780,55114,102270,2782,107303,107310,107578,112809,111581,111581,195295
49781,55114,55744,273,107303,107310,107578,135351,47764,47764,195296
49782,55114,102271,160,107303,107310,107555,113988,11957,11957,195297
49783,55116,102272,1642,107303,107310,107583,113368,2344,2344,195298
49784,55113,102273,1044,107303,107310,107578,110875,48057,48057,195299
49785,55114,102274,3846,107303,107310,107555,116713,11941,11941,195300
49786,55114,60271,494,107303,107310,107578,135352,48096,48096,195301
49787,55118,102275,0,107303,107310,110133,111581,111581,111581,195302
49788,55114,102276,0,107303,107310,107556,110416,111581,145587,195303
49789,55115,102277,742,107303,107310,107589,127797,111581,111581,195304
49790,55115,59689,135,107303,107310,107589,135353,111581,111581,195305
49791,55115,102278,215,107303,107310,107589,135354,111581,111581,195306
49792,55115,102279,155,107303,107310,107589,135355,111581,111581,195307
49793,55115,102280,134,107303,107310,107589,135356,111581,111581,195308
49794,55115,102281,758,107303,107310,107589,110886,111581,111581,195309
49795,55115,102282,617,107303,107310,107573,114396,111581,111581,195310
49796,55115,102283,997,107303,107310,107564,111888,111581,111581,195311
49797,55113,102284,996,107303,107310,107574,129545,138625,138625,195312
49798,55114,102285,895,107303,107310,107562,113457,24206,24206,195313
49799,55113,102286,452,107303,107310,107549,111402,7706,7706,195314
49800,55114,102287,899,107303,107310,107574,110447,37331,37331,195315
49801,55113,102288,2092,107303,107310,107593,135357,36665,36665,195316
49802,55114,102289,1044,107303,107310,107574,115613,37403,37403,195317
49803,55113,102290,76,107303,107310,107581,135358,4665,4665,195318
49804,55114,102291,414,107303,107310,107573,111167,9265,9265,195319
49805,55116,102292,95,107303,107310,107558,110419,20287,20287,195320
49806,55113,102293,704,107303,107310,107549,135359,8449,8449,195321
49807,55114,102294,1829,107303,107310,107578,135360,422,422,195322
49808,55113,102295,0,107303,107310,107560,111581,111581,111581,195323
49809,55115,102296,0,107303,107310,107560,111581,111581,111581,195324
49810,55113,102297,390,107303,107310,107571,135361,2139,2139,195325
49811,55113,102298,53,107303,107310,107558,110960,19731,19731,195326
49812,55114,102299,54,107303,107310,107573,113625,36773,36773,195327
49813,55115,102300,276,107303,107310,107594,112224,111581,111581,195328
49814,55113,102301,122,107303,107310,107565,112157,4360,4360,195329
49815,55114,102302,694,107303,107310,107583,117337,9852,9852,195330
49816,55113,102303,124,107303,107310,107578,135362,4860,4860,195331
49817,55114,60811,2348,107303,107310,107578,114069,5052,5052,195332
49818,55113,102304,211,107303,107310,107558,131212,20514,20514,195333
49819,55113,102305,272,107303,107310,107565,126218,30654,30654,195334
49820,55113,102306,72,107303,107310,107581,112940,50733,50733,195335
49821,55114,102307,187,107303,107310,107578,135363,2369,2369,195336
49822,55114,102308,364,107303,107310,107578,110740,6907,6907,195337
49823,55114,100387,1910,107303,107310,107582,119729,1248,1248,195338
49824,55113,102309,884,107303,107310,107583,111386,1308,1308,195339
49825,55114,102310,1982,107303,107310,107578,110433,3532,3532,195340
49826,55113,102311,1084,107303,107310,107568,126167,8334,8334,195341
49827,55113,102312,647,107303,107310,107578,110626,7130,7130,195342
49828,55114,102313,754,107303,107310,107574,112010,37395,37395,195343
49829,55114,102314,1298,107303,107310,107577,132200,41657,41657,195344
49830,55114,102315,1323,107303,107310,107554,115326,3417,3417,195345
49831,55114,102316,2623,107303,107310,107578,113845,48094,48094,195346
49832,55114,102317,77,107303,107310,107558,110962,20361,20361,195347
49833,55113,102318,1008,107303,107310,107579,110739,2282,2282,195348
49834,55113,102319,1307,107303,107310,107564,135364,9771,9771,195349
49835,55114,55426,124,107303,107310,107558,113192,20325,20325,195350
49836,55113,102320,1337,107303,107310,107568,125399,33522,33522,195351
49837,55116,102321,1717,107303,107310,107577,110393,111581,145588,195352
